timestamp,title,price,original_price,shipping,item_url,discount_percentage
2025-03-20 23:06:56,Microsoft Xbox Series S,299.0,299.0,Shipping info unavailable,https://www.ebay.com/itm/266190900217?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:56,Apple iPhone 15 Pro 256gb ( Unlocked) US E-Sim Version. Excellent,674.99,674.99,Shipping info unavailable,https://www.ebay.com/itm/166613095133?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:56,Google Pixel 8 Pro 128GB Factory Unlocked - Excellent,434.99,434.99,Shipping info unavailable,https://www.ebay.com/itm/226348022590?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:56,"Apple Macbook Air MLY33LL/A 2022 M2 - Magsafe 3 - 13.6"" 8GB/256GB SSD Excellent",650.0,650.0,Shipping info unavailable,https://www.ebay.com/itm/166206685749?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:56,Samsung Galaxy S21 5G SM-G991U 128GB 256GB Unlocked Very Good Refurbished,159.95,159.95,Shipping info unavailable,https://www.ebay.com/itm/185698601733?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:56,NEW UNLOCKED SAMSUNG GALAXY S20+ PLUS 5G SM-G986U 128GB BLACK GRAY GSM+CDMA,207.77,207.77,Shipping info unavailable,https://www.ebay.com/itm/194520534603?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:56,"HGST Ultrastar HUH728080ALE604 (0F23668) 8TB 7200RPM SATA 6Gb/s 3.5"" Hard Drive",98.99,98.99,Shipping info unavailable,https://www.ebay.com/itm/155888794968?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:56,REDTIGER 4K Dash Cam Front and Rear Dual Dash Camera WIFI&GPS With 32GB SD Card,69.99,69.99,Shipping info unavailable,https://www.ebay.com/itm/285048811560?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:56,Hollyland Lark M2 Wireless Lavalier Microphone for iPhone/Android/Camera/PC/Lapt,95.99,95.99,Shipping info unavailable,https://www.ebay.com/itm/176300279837?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:56,TOPPIK 55 g. Haarfasern -NEU- Haarverdichter Streuhaar Schütthaar Hair Fibers,54.28,54.28,Shipping info unavailable,https://www.ebay.com/itm/293607858045?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:57,Yugioh Speed Duel Battle City FINALS Brand New Factory Sealed,33.99,33.99,Shipping info unavailable,https://www.ebay.com/itm/326370200686?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:57,REDTIGER 4K Dual Dash Camera Front and Rear Dash Cam WIFI&GPS With 32GB SD Card,69.99,69.99,Shipping info unavailable,https://www.ebay.com/itm/285048811662?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:57,PUMA Men's Neutron Training Shoes,46.99,46.99,Shipping info unavailable,https://www.ebay.com/itm/276667473483?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:57,"Seagate EXOS X16 ST14000NM005G 14TB 256MB 7200rpm 3.5"" SATA 6Gb/s Enterprise HDD",147.99,147.99,Shipping info unavailable,https://www.ebay.com/itm/176825170520?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:57,PUMA Men's Contempt Demi Training Shoes,32.99,32.99,Shipping info unavailable,https://www.ebay.com/itm/284959012013?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:57,ARPHA Keyless Smart Door Lock Fingerprint WiFi APP Video Camera Doorbell+Handle,129.99,129.99,Shipping info unavailable,https://www.ebay.com/itm/256657408099?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:59,PUMA Men's ST MILER Sneakers,30.99,30.99,Shipping info unavailable,https://www.ebay.com/itm/276732561148?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:59,Samsung Galaxy Watch5 Pro 45mm R925N GPS + Cellular - Good,69.99,69.99,Shipping info unavailable,https://www.ebay.com/itm/256382762964?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:59,Leather Repair Paint Dye for BMW Car Seats and Interior. 62 Colours 250ml,21.98,21.98,Shipping info unavailable,https://www.ebay.com/itm/272717505091?_trkparms=5373%3A0%7C5374%3AFeatured,0.0
2025-03-20 23:06:59,"Bosch GBH18V-45CK24-RT 18V PROFACTOR 1-7/8"" Rotary Hammer Certified Refurbished",499.99,499.99,Shipping info unavailable,https://www.ebay.com/itm/395695239031?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000017444,0.0
2025-03-20 23:06:59,DeWalt DCN680D1R 20V MAX XR 18 Gauge Cordless Brad Nailer Certified Refurbished,269.99,269.99,Shipping info unavailable,https://www.ebay.com/itm/395766032428?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000017444,0.0
2025-03-20 23:07:00,eufy S330 Video Smart Lock Wi-Fi Camera Doorbell Fingerprint Keyless Door Lock,219.99,219.99,Shipping info unavailable,https://www.ebay.com/itm/385469172593?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000017444,0.0
2025-03-20 23:07:00,"Milwaukee 2465-80 M12 FUEL 12V 3/8"" Torque Wrench w/ ONE-KEY - Bare Tool - Recon",405.99,405.99,Shipping info unavailable,https://www.ebay.com/itm/404542277287?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000017444,0.0
2025-03-20 23:07:00,,,,Shipping info unavailable,https://www.ebay.com/globaldeals/home/more-home-garden,
2025-03-20 23:07:00,Black Beast® Pro Grade GREEN Beam Laser Pointer BRIGHTEST USA LEGAL 1mw 17z,16.95,16.95,Shipping info unavailable,https://www.ebay.com/itm/176658927493?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000018843,0.0
2025-03-20 23:07:00,Leica Disto X3 Laser Distance Meter,254.99,254.99,Shipping info unavailable,https://www.ebay.com/itm/135131680093?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000018843,0.0
2025-03-20 23:07:00,Makita HM0870C-R 11 lb Corded SDS-Max Demolition Hammer Certified Refurbished,301.99,301.99,Shipping info unavailable,https://www.ebay.com/itm/335627921012?_trkparms=5373%3A0%7C5374%3AFeatured%7C5079%3A6000018843,0.0
